wti,spread,n_completed,n_overruns,ess_d,tail_ess,n_admissible,n_eligible,wti_weighted_mean,brent_weighted_mean,wti_bias_abs,wti_bias_rel,ev_usd,cvar_usd,var_usd,decision_ratio,p_loss,mean_delta_usd,std_delta_usd,skew_delta,median_delta_usd,p10_delta_usd,p90_delta_usd,sigma_calibration_obs,scenario_price_range
60.5,4.0,10000,0,93.48806823984262,9.025270758122742,167,1917,60.5050251827404,65.33325810759163,0.0050251827404039,8.30608717422145e-05,1839776.0865120825,5050515.645082501,3765516.920920402,0.3642749009803392,0.285,-81797.54314999998,406015.5570936095,-0.958435063153922,-41667.56999999983,-574186.0800000001,368956.4399999995,692,10.0
60.5,4.25,10000,0,97.09265226271268,8.777473492030053,174,1917,60.58156024816879,65.43863734968731,0.0815602481687847,0.0013481032755171,1744037.99638563,5119951.420216104,3811366.7156770537,0.3406356532015722,0.2932,-98495.20595199996,411705.6556613928,-0.9400438970170584,-56498.40000000002,-598105.3700000002,366690.9180000018,697,10.0
60.5,4.5,10000,0,99.32831795686512,9.728383531792357,178,1917,60.62896877088236,65.51958760303103,0.1289687708823592,0.002131715221196,1742073.0821421258,4954099.811224079,3519319.43891416,0.3516427097805458,0.2902,-90346.47139799998,402609.1255366872,-0.8114611690684965,-52967.25,-602552.7000000003,363245.04,706,10.0
60.5,4.75,10000,0,101.81972685306984,8.497043029025896,182,1917,60.65325814731335,65.57460282147987,0.1532581473133518,0.002533192517576,1640571.23279877,5201151.14937789,3862264.845060684,0.3154246407538068,0.3065,-90207.56692,417423.25239811616,-0.8205101273067564,-54177.93000000005,-605027.6400000001,387613.6799999994,718,10.0
60.5,5.0,10000,0,104.4369133942318,9.440374594063892,184,1917,60.70549561853509,65.68687964849676,0.2054956185350889,0.0033966217939684,1685810.390663824,5166330.945266027,3742137.9064093274,0.3263070849552433,0.2946,-100778.78743299996,416594.7078393485,-0.9426368707266204,-56700.18000000017,-610358.2800000001,375810.1200000001,723,10.0
60.5,5.25,10000,0,108.11346427512892,9.41123324800482,188,1917,60.76221253001869,65.79746162609055,0.2622125300186937,0.0043340914052676,1667555.250057171,5160442.545652592,3705549.785650329,0.3231419079477982,0.2989,-99311.473787,416314.2592854517,-0.6869415821196871,-61542.90000000037,-618718.4700000001,375810.1200000001,727,10.0
60.5,5.5,10000,0,110.75302365830716,11.01418627191823,193,1917,60.806154279715656,65.92894683459518,0.3061542797156562,0.0050604013176141,1626055.834626487,5036728.109545292,3672985.26621772,0.3228397084895028,0.3122,-108687.07922899997,418472.039929081,-0.7759540756025408,-68504.31000000006,-628063.6200000006,387613.6799999994,735,10.0
60.5,5.75,10000,0,114.89564444359448,10.347682119205295,201,1917,60.84995771641633,66.07227873793677,0.349957716416327,0.0057844250647326,1424447.388860863,5308156.159632337,4500463.009112616,0.2683506939177022,0.3373,-99915.74800099996,418916.2179605895,-0.7450687424443424,-64266.93000000017,-618718.4700000001,387613.6799999994,740,10.0
60.5,6.0,10000,0,113.73057543934864,10.12227710745809,200,1917,60.95887615380545,66.31138315578194,0.4588761538054484,0.007584729814966,1267196.2330759026,5415223.959649076,4579502.730360606,0.2340062465593798,0.3528,-89394.20754799998,413131.8049587077,-0.521742263675651,-62056.28000000026,-605027.6400000006,433960.0,745,10.0
60.5,6.25,10000,0,111.89157594566409,9.560229445506693,196,1917,60.97923545946121,66.41553558385388,0.4792354594612078,0.0079212472638216,1259362.419781869,5471512.969852488,4637764.580653793,0.230167126847882,0.3636,-92024.43870899998,416824.1271567704,-0.5088713558797463,-63459.810000000056,-618718.4700000001,433960.0,745,10.0
